valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.94,2006,0.33,['Los Horóscopos De Durango'],0.687,204587,0.7240000000000001,0,2KIUMqD9ZkcxhgSVyIDP4t,0.000273,4,0.248,-2.478,0,Mi Amor Por Ti,48,2006-01-01,0.0301,141.507
0.165,2002,0.109,['Good Charlotte'],0.515,242933,0.5660000000000001,0,0eYcZLnlLKaItC1WC4B1pc,0.0,6,0.16,-6.176,1,Emotionless,42,2002-10-04,0.0303,154.32
0.551,1987,0.795,['Raphael'],0.402,159560,0.4270000000000001,0,6b3ub116kE1T15h1yzaiTy,0.0,2,0.222,-11.328,0,Yo soy aquél,38,1987-08-25,0.0359,111.065
0.557,1998,0.79,"['Joan Sebastian', 'Pepe Aguilar']",0.392,180976,0.426,0,2bWImXJQNVfgrROo4Xj630,4.48e-06,9,0.208,-7.087999999999999,1,Estás Fallando,48,1998-09-10,0.0404,183.039
0.48,1965,0.988,['Vince Guaraldi Trio'],0.339,149227,0.243,0,5dwY5r2PfjMteikJViyNIT,0.893,0,0.113,-16.851,0,Great Pumpkin Waltz,55,1965,0.0382,151.481
0.347,1958,0.972,['Sarah Vaughan'],0.614,156653,0.156,0,1opNhHzl7YYxo1szmZOLAA,0.0,10,0.0925,-13.0,0,Whatever Lola Wants (Lola Gets),39,1958-07-07,0.0657,119.14
0.966,1957,0.731,['Lefty Frizzell'],0.6459999999999999,150507,0.451,0,4cytp0rRbxCUGtdLjdTlfw,0.00126,8,0.468,-12.783,1,You're Humbuggin' Me,11,1957,0.0389,145.316
0.285,1988,0.703,['Keith Whitley'],0.605,252627,0.228,0,7J9ARWRkMtXMYeF8RxJEjn,0.00198,7,0.0936,-16.116,1,Don't Close Your Eyes,58,1988-05-30,0.0267,78.31
0.964,1931,0.971,"['Francisco Canaro', 'Charlo']",0.8759999999999999,180493,0.297,0,1ztPRRfuLE5oXT70O2T2aj,0.182,2,0.0819,-12.942,1,Amores de Granada - Remasterizado,0,1931-12-14,0.109,124.392
0.539,1988,0.732,"['Paul Jackson, Jr.']",0.613,317800,0.435,0,0CDdIP9vgk3iSDH0bPGww5,0.376,1,0.0403,-13.892,1,Let's Wait Awhile,36,1988,0.0268,88.27
0.741,1949,0.99,"['Bhanumathi Ramakrishna', 'Ghantasala']",0.448,187147,0.216,0,3XoQ4j4IbJkGSYlPkwYhFb,0.7959999999999999,10,0.098,-18.122,1,Jeevanadoli,0,1949-12-01,0.0585,167.357
0.977,1973,0.599,['Billy Joe Shaver'],0.7340000000000001,164933,0.358,0,1H9LQWU4yHZ5r9j1VowlQ3,0.272,9,0.0971,-16.500999999999998,1,Black Rose,44,1973-04-27,0.0353,132.224
0.243,2014,0.258,['The Black Keys'],0.647,222960,0.465,0,1pwWrPxonLIE12WWu9NzgU,0.149,6,0.111,-10.272,0,Turn Blue,54,2014-05-09,0.0245,94.035
0.463,1931,0.856,['Эрих Мария Ремарк'],0.725,163300,0.184,1,2U3oMl0uPWyqJjCGK3Pu7M,0.0,0,0.176,-15.06,1,Часть 22.8 - Обратный путь,0,1931,0.947,115.756
0.343,1983,0.00186,['Jonzun Crew'],0.8240000000000001,317707,0.956,0,5yXdLXpSiyhWT3Z0aSppkW,0.684,7,0.0961,-7.207000000000002,1,Pack Jam,33,1983-01-04,0.0709,118.908
0.525,2008,0.000209,['Disturbed'],0.429,278027,0.966,0,42ZVk59gT4tMlrZmd8Ijxf,0.124,8,0.371,-4.605,1,Indestructible,71,2008-04-29,0.0733,179.956
