id,name,artist,popularity,duration_ms,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5R8J6WCnV1E2lDJgVoaA4P,b'Threats',b'Jean Grae',41,246293,2008,0.677,0.631,0,-6.363,1,0.0578,0.0986,4.59e-06,0.245,0.454,90.12
5ex7brQNeKhyh6wjQoMDr0,"b""Queen's Philosophy""",b'Sa-Roc',16,193750,2013,0.849,0.572,7,-10.119,1,0.358,0.0335,0,0.109,0.497,97.106
0t7k99JA9z0KaMw1BoEpk8,b'9th vs. Thought',b'Black Thought',38,167741,2018,0.751,0.933,7,-2.188,1,0.294,0.0255,0,0.071,0.458,93.032
1LM6EReMkAxuDXDF26ekl2,b'Get By',b'Talib Kweli',58,227426,2002,0.662,0.928,2,-4.688,1,0.377,0.00324,0,0.17,0.775,90.509
5DWbvNiVrH2u0Si9e21ZjW,b'We Comin',b'Sa-Roc',7,209655,2015,0.659,0.859,8,-2.767,1,0.423,0.301,0,0.715,0.709,174.542
0AeXtgRernMx6BDInIxtm8,b'Freedom Form Flowing',b'Gift Of Gab',45,272860,2018,0.751,0.86,2,-3.57,1,0.287,0.454,4.1e-05,0.0849,0.655,162.06
5wkW9SLgv1DCO3Ll6WGjNg,b'Hood Supreme',b'Sa-Roc',17,216521,2015,0.78,0.729,1,-9.01,0,0.51,0.106,0,0.294,0.805,91.948
1DaqUrqQOam8bCbzBUdqao,b'Maximum Frequency',b'Sa-Roc',14,228000,2014,0.746,0.953,1,-3.329,0,0.288,0.00292,0,0.598,0.882,90.12
0sztU8yO2eSFM7PCAeKdAT,b'Never Been In Love',b'Talib Kweli',43,300653,2004,0.757,0.748,6,-7.091,0,0.253,0.408,0,0.178,0.559,96.073
4YoLbz1TKv8HQh2lRzpjiA,b'Eye of the Phoenix',b'Sa-Roc',5,124450,2016,0.817,0.717,1,-7.663,1,0.297,0.000695,3.47e-05,0.168,0.589,91.0
5t2bG4wMvpyfRnYic2A1hI,b'Nightmare',b'Avenged Sevenfold',57,374453,2010,0.529,0.948,7,-4.928,1,0.0795,0.000319,0.0001,0.2,0.241,129.98
6m8dDOTv96S6BObyont2L9,b'Ms. Hill',b'Talib Kweli',41,224280,2005,0.622,0.67,8,-8.076,0,0.368,0.0554,0,0.573,0.242,90.816
72gByp7oLONJBOg0YntwTZ,b'End of the World',b'Sa-Roc',14,278382,2015,0.675,0.524,3,-10.372,1,0.398,0.0668,0,0.26,0.341,84.882
